Date;Time;Location;Operator;Flight;Route;Type;Registration;cn/In;Aboard;Fatalities;Ground;Summary;Latitude;Longitude
12/22/1954;23:00:00;Pittsburgh, Pennsylvania;Johnson Flying Service;4844-C;Newark - Tacoma;Douglas DC-3;N24320;20197;2800;100;0;Ditched into the Monongahela River after running out of fuel. Inadequate flight planning. Contributing factors were inadequate crew supervision and training.;404416941;-799900861
02/02/1955;03:50:00;Nagpur, India;Indian Airlines;;Nagpur - Delhi;Douglas DC-3;VT-CVB;13037;1000;100;0;Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude.;211498134;790820556
11/20/1955;17:00:00;Iwo Jima, Japan;Military - US Air Force;;;Douglas C124-DL Globemaster II;51-0149;43483;1100;100;0;The military transport crashed seconds after taking off from Central Airport in Iwo Jima.;247851883;1413241156880050
01/08/1959;20:32:00;Mt. Holston, Tennessee;Southeast Airlines;308;Nashville - Knoxville - Tri-City Aport;Douglas DC-3;N18941;2007;1000;100;0;The aircraft struck a mountain during an ILS approach to Tri-City Airport. Pilot's failure to identify an intersection properly, resulting in flying 15 miles beyond the outer marker and descending to an alititude too low to clear high terrain. An inoperative compass was not entered into the aircraft log.;36463392;-82196953
01/10/1960;15:38:00;Gulf of Sirte;Military - U.S. Army;;Misurata - Benghazi;de Havilland Canada U-1A Otter;55-2974;47;1000;100;0;Missing, never found.;31292831200000000;18045410836206700
04/12/1960;14:20:00;Pelotas, Brazil;Cruzeiro;;;Douglas DC-3;PP-CDS;4823;2200;100;0;While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.;-317699736;-523410161
05/18/1960;;El Sosneado, Argentina;Transamerican Air Transport;;Buenos Aires - Santiago;Curtiss C-46;LV-GGJ;22554;1000;100;0;Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.;-350788526;-695677277
08/01/1962;13:15:00;Near Kathmandu, Nepal;Royal Nepal Airlines;;Katmandu - New Deli;Douglas DC-3;9N-AAH;6216;1000;100;0;Crashed into a 11,200 ft. mountain, 100 miles from New Deli. Dirfted off course to the north of the intended track.;277019771;853510111
10/25/1962;;Near Moscow, Russia;Aeroflot;;;Tupolev TU-104B;CCCP-42495;21703;1000;100;0;Crashed on takeoff on a test flight. Rudder controls improperly installed.;55758285650000000;3760436886144640
02/03/1964;08:00:00;Gainsville, Florida;South Central Airlines;510/3;Gainsville - Jacksonville;Beech D18S;N2999;A-811;1000;100;0;The aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of Runway 6. Pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion.;2961941755;-8236011793561750
03/08/1965;10:30:00;Libmanan, Philippines;Fairways;43;Manila - Naga;Douglas DC-3;PI-C948;4892;1200;100;0;Crashed and burned on a forested mountain slope on Mt. Tangcong Vaca. Misjudgment of clearance with the ground by the crew which resulted in collision with trees.;136960365;1230612123
07/31/1975;;Santiago, Chili;Military - Chilian Air Force;;;Douglas C-47;970;;1000;100;0;;-334377756;-706504502
07/28/1968;;Near Recife Brazil;Military - U.S. Air Force;;;Douglas C-124C;51-5178;43588;1000;100;0;Struck a mountain while en route.;-7560521850000000;-350124608305277
10/08/1968;;Puerto Cortes, Costa Rica;Aerovias del Valle;;;Britten-Norman BN-2 Islander;TI-1063C;14;1000;100;0;Crashed while attempting to land.;89630807;-835238182
02/05/1969;06:53:00;Port Angeles, Washington;Pudget Sound Air - Air Taxi;601;Port Angeles - Seattle;Beechcraft C-45H;N8181H;;1000;100;0;The plane crashed after a premature liftoff for unknown reasons.;48118146;-123430741
12/22/1969;;Nha Trang, Vietnam;Air Vietnam (South Vietnam);;;Douglas DC-6B;B-2005;44694;7700;100;2400;An explosive device was detonated in the cabin just as the aircraft was about to land. The blast damaged the aircraft's hydraulics. The aircraft became airborne, overran the runway and crashed into a school.;122431693;1091898675
08/03/1970;;Near Las Vegas, Nevada;Military - United States Navy;;Las Vegas - San Diego;Lockheed P-3A Orion;152159;185-5129;1000;100;0;Broke up and crashed after penetrating a thunderstorm 50 miles south of Las Vegas.;36098267750000000;-11516411745000000
10/16/1971;09:45:00;Colorado City, Arizona;SceniAir Lines;;Las Vegas - Grand Canyon;Cessna 402;N3250Q;;1000;100;0;The sightseeing plane crashed in rain/snow.  Continued VFR flight into adverse weather conditions. Pilot transmitted he was turning around do to weather conditions.;369902621;-11297577
12/20/1972;18:00:00;Chicago, Illinois;Delta Air Lines/ North Central Airlines;954/575;Tampa - Chicago / Chicago - Madison;Convair CV-880 / McDonnell DC-9-31;N8897E/N954N;22-00-29 / 47159/231;13300;100;0;The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions.;418755616;-876244212
08/15/1973;14:50:00;Don Don, Haiti;Private;;Port Au Prince - Cap Haitien;Norman BN-2A-6;N38JA;211;1000;100;0;Airframe failure in flight.;144759223;1210302795
10/02/1973;;Magadan, Russia;Aeroflot;;;Antonov AN-12V;CCCP-12967;9346502;1000;100;0;Struck high ground after going off course during a go-around.;635515028;154014726
12/11/1973;;Sitkin Island, Alaska;Military - U.S. Navy;;Elmendorf AFB - Adak;Douglas DC-118;131615;43718/371;1000;100;0;Struck a mountain 40 miles from Adak.;519430085;17850962087585100
08/30/1975;13:57:00;Near Gambell, Alaska;Wien Air Alaska;99;Nome - Gambell;Fairchild F-27B;N4904;21;3200;100;0;After several landing attempts, the aircraft crashed into Sevuokuk Mountain, in fog, while attempting to land at Gambell Airport. The flightcrew's failure to adhere to prescribed company instrument approach procedures while attempting to land in adverse weather conditions.;637757752;-171734462796469
09/03/1976;;Timmins, Ontario, Canada;Austin Airways;;Moosonee - Timmins;de Havilland Canada DHC-3 Otter;CF-MIT;;1000;100;0;The float plane struck power lines and crashed while attempting to land.;48477473;-81330414
06/23/1978;;Saint John's, Newfoundland;Gander Aviation;;Survey;Beech Queen Air A80;C-GGAL;;1000;100;0;Crashed in heavy fog while attempting to take off.;475614705;-527126162
08/30/1978;07:47:00;Las Vegas, Nevada;Las Vegas Airlines;;Las Vegas, NV - Santa Ana, CA;Piper PA-31-350 Chieftain;N44LV;;1000;100;0;Crashed on takeoff. Down elevator control stop backed out, limiting down elevator travel to 1 1/2 degrees of normal 20 degrees.;361672559;-115148516
12/16/1978;;Selvapiana, Italy;Air 70;;;Cessna 421 Golden Eagle;I-ASON;;1000;100;0;;447648702;91733419
12/26/1978;;Turks & Caicos Islands, Caribbean;Haïti Air Inter;;;Britten Norman BN-2A Islander;HH-CNB;442;1000;100;0;;21721746;-715527809
12/28/1978;18:15:00;Portland, Oregon;United Air Lines;173;Denver - Portland;McDonnell Douglas DC-8-61;N8082U;45972/357;18900;100;0;While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.;455202471;-122674194
03/26/1979;;Luanda, Angola;Interflug;;;Ilyushin IL-18D;DM-STL;186009402;1000;100;0;The cargo plane lost the No. 2 engine on takeoff, overran the runway, crashed into the ILS localizer antenna, broke up and caught fire.;-88272699;132439512
09/03/1979;;Nice, France;Sterling Airways;;;Aerospatiale Corvette;OY-SBS;21;1000;100;0;Crashed on approach after two engines failed leading to a loss of control of the aircraft.;437009358;72683912
10/27/1979;23:46:00;Near San Ysidro, California;;;Monterey, Mexico - San Ysidro, CA;Beech 200;XC-PGR;;1000;100;0;Crashed while on final approach. The plane hit a pole, 14 feet above ground level, 2 miles from the approach end of the runway. The localizer was inoperative and the crew was using VOR/DME.  Improper IFR operation.;3255946645;-11706318302701600
10/28/1979;;Tijuana, Mexico;Procurator Generale de la Republica;;;de Havilland Canada DHC-6 Twin Otter 300;XC-BOS;519;1000;100;0;Crashed into a utility pole short of the runway in heavy fog.;325317397;-117019529
12/12/1979;;Apolo, Bolivia;CAMBA;;;Martin 404;CP-1440;14114;1100;100;0;;-14720714;-6842004346184740
12/05/1980;;Dar es Salaam, Tanzania;Tanzania Aviation;;Dodoma - Dar es Salaam;Piper PA-42 Cheyenne;5H-TAL;;1000;100;0;;-68160837;392803583
11/19/1981;;Biratnagar, Nepal;Royal Nepal Airlines;;;Pilatus PC-6/B2-H2 Turbo-Porter;9N-ABJ;746;1000;100;0;Crashed after takeoff.;264623007;87281617
09/04/1982;;Rio Branco, Brazil;Cia Brasiliera de Tratores;;;Gates Learjet 25B;PT-JBQ;25B-119;1000;100;0;The plane ran out of fuel on the third approach in poor weather.;-99765362;-678220778
12/22/1982;;Mesvres, France;Rijnmond Air Services;;;Piper PA-31-350 Chieftain;PH-TSM;31-7852161;1000;100;0;;468625918;42422831
08/17/1983;12:27:00;Grand Canyon, Arizona;Las Vegas Airlines;;Las Vegas, NV  - Grand Canyon, AZ;Piper PA-31-350 Chieftain;N88LV;31-7752118;1000;100;0;Crashed into a cliff in the Grand Canyon on a sightseeing flight.;36097743;-1120967621
10/11/1983;20:53:00;Pinckneyville, Illinois;Air Illinois;701;Springfield, Il - Carbondale, IL;Hawker Siddeley HS-748-FAA;N748LL;1716;1000;100;0;Two minutes out of Springfield, the left generator suffered a complete mechanical failure. The first officer mistakenly shut down the right generator and all attempts at bring it back to life failed. Although the plane could be flown safely on batteries for about 30 minutes the captain decided to continue on towards Carbondale, thirty-nine minutes away. The batteries lasted for thirty-one minutes. The aircraft lost all power, turned blindly 180 degrees and crashed in a rural area.;380803286;-893820321
01/15/1987;12:52:00;Salt Lake City, Utah;Skywest Airlines / Private.;1834;Pocatello - Salt Lake City;Swearingen SA-226TC / Mooney M-20C;N163SW / N6485U;TC-327 /;1000;100;0;Midair collision with a Mooney M-20 at 7,000 ft. Ten killed on the Swearingen and none on the Mooney.  Procedures and directives not followed by the Mooney pilot. Lack of navigational vigilance by the Mooney instructor pilot which led to the authorized intrusion into the Salt Lake City airport radar service area. Contributing factor was the absence of a Mode-C transponder on the Mooney airplane and the limitations of the air trafficontrol system to provide collision protection.;407596198;-111886797
06/05/1987;;Bolivar State, Venezuela;Rutaca;;;Britten-Norman BN-2A Islander;YV-230C;19;1000;100;0;;60383525;-6345439437725710
01/19/1988;;Green Island, Taiwan;Taiwan Airlines;;;Britten-Norman BN-2A-26 Trislander;B-11125;2029;1100;100;0;Crashed in mountains.;226616764;121492596
02/19/1989;12:10:00;Corona, California;Air Taxi - Las Vegas Flyers Inc.;;Las Vegas, NV - Santa Ana, CA;Cessna 402B;N69383;402B0527;1000;100;0;The accident occurred during a descent when the aircraft collided with a 2,060 ft. mountain. The pilot's failure to properly preflight and plan for flight and his intentional flight into imconditions. Pilots disregard for in-flight weather advisories. Factors contributing to the accident were the low ceiling conditions in conjunction with the mountainous terrain.;338752945;-1175664449
02/25/1989;;Tegucigalpa, Honduras;Albancion Circulo;; - Tegucigalpa - Toncontin;Douglas DC-6;HR-AKZ;44642/586;1000;100;0;Hit high ground 27 km from the airport.;141057433;-872040052
03/10/1989;;Lima, Peru;Aero Condor;;Sightseeing;Britten Norman BN-2A Trislander;OB-T-1271;604;1000;100;0;Crashed after striking radio tower while on approach.;-120621065;-770365256
09/27/1989;09:53:00;Grand Canyon National Park Airport, Tusayan, Arizona;Grand Canyon Airlines;Canyon 5;Grand Canyon National Park;de Havilland Canada DHC-6 Twin Otter 300;N75GC;439;2100;100;0;The aircraft bounced and came down on its right wing tip while attempting to land. The controls were damaged and after an attempted go-around and reaching a height of 200 ft., the plane rolled to the left and crashed into trees on a hill. Improper pilot techniques and crew coordination during the landing attempt, bounce and attempted go-around.;359525161;-11214520362936900
04/30/1990;;Tarbert, England;Military - Royal Air Force;;;Avro Shackleton AEW-2;WR965;;1000;100;0;Crashed into a mountain in poor weather while en route.;515833084;-796862
12/04/1990;;Nairobi, Kenya;Sudania Air Cargo;;;Boeing B-707-320F;ST-SAC;19377/666;1000;100;0;Undershot the runway by 4km on a second approach, hit powerlines and crashed in fog.;-13026148500000000;368288420082562
03/16/1991;01:43:00;San Diego, CA;Duncan Aircraft Sales;;San Diego - Amarillo, TX  - Evansville, IN;Hawker-Siddeley DH-125-1A/522;N831LC;25095;1000;100;0;The aircraft hit rising terrain near the top of Mt. Otay, 8 miles NE of Brown Field at an elevation of 3,300 feet shortly after taking off. Improper planning/decision by the pilot. Failure of the crew to maintain proper altitude and clearance over mountainous terrain and the failure of the copilot to adequately monitor the progress of the flight. Seven members of the Reba McEntire band were killed.;327174202;-1171627728
06/19/1992;14:05:00;Meadview, Arizona;Adventure Airlines;;Meadview, AZ - Las Vegas, NV;Cessna 402C;N2715X;402-0215;1000;100;0;Crashed after engine failure on takeoff. Pilot error. Failure of the pilot to follow emergency procedures after an engine failure during takeoff.;360022091;-1140682936
08/21/1992;;Colorado, Bolivia;Servicios Aereos Santa Ana;;La Paz - Santa Ana de Yacuma;Convair CV-440-80;CP-1961;405;1000;100;0;Crashed into a lake in the Chacaltaya mountains during poor weather conditions.;-175429363;-647991084
09/12/1992;;Kozyrevsk, Russia;Kamchatavia;;;Mil Mi-8 (helicopter);RA-22738;;1400;100;0;While en route, the aircraft cashed into trees and burst into flames.;56055065;159868439
01/05/1994;18:29:00;Okeechobee, Florida;Kimura International;;Kissimmee - Opa;Beechcraft King Air B90;N230TW;LJ-0445;1000;100;0;The pilot indicated he had engine trouble and was attempting to land at Okeechobee. When he could not find the airport, he attempted to land on a dirt road. Upon observing a car on the road he aborted the landing rolled to the right and crashed into trees. Improper remedial action concerning a right engine power anomaly and the failure to maintain adequate airspeed during a go-around from a precautionary landing. Failure of the right engine fuel control bearing.;273923408;-808873655
10/08/1994;15:45:00;Mitu, Colombia;SELVA;;Villavicencio - Mitu;Antonov AN-32B;HK3929X;3301;1000;100;0;The plane landed short of the runway bounced, collapsed the landing gear, veered off the runway and crashed into another plane and vehicles.;12523268;-702308883
01/20/1995;;Le Bourget, France;Leadair - Charter;;Paris - Romania;Dassault Falcon 20E;F-GHLN;225;1000;100;0;The plane flew into a flock of birds that were injested into the left engine.  The pilot soon after reported an engine fire and that he was returning to the airport.  However, control of the plane was lost and the aircraft crashed.;489351403;24258354
02/19/1996;;Salzburg, Austria;Private Wings;;Berlin - Salzburg;Cessna 550 Citation;D-CASH;550-0564;1000;100;0;Stalled and when into a vertical dive 2 miles short of the runway.;477981346;130464806
12/31/1997;07:45:00;Rio Sidra, Panama;Parsa;;Panama City - Rio Sidra;Britten Norman BN-2A Trislander;HP-986PS;178;1000;100;0;Crashed into dense jungle, 4 miles short of its destination in heavy fog.;94510462;-788327783
07/17/1998;04:15:00;Asmara, Eritrea;Ukraine Aviation Transport Company;;Bourgas, Bulgaria - Asmara, Eritrea;Ilyushin II-76;UR-UCI;83481440;1000;100;0;While on an ILS approach, the cargo plane struck a hill.;153389667;389326763
07/31/1999;08:30:00;Marine City, Michigan;Private;-;Sky Diving;Beech King Air 65-A90;N518DM;LJ-251;1000;100;0;The aircraft, which was carrying members of a skydiving club, crashed shortly after taking off from Marine City Airport. Witnesses reported the plane banked hard to the right and flew into the ground. The aircraft was destroyed by fire. The pilot's failure to maintain adequate airspeed, which resulted in a stall, inflight loss of control and collision with the ground.;427190045;-824941921
09/25/1999;17:25:00;Mt. Mauna Loa, Hawaii;Big Island Airlines;58;Sightseeing;Piper PA-31-350 Navajo Chieftain;N411WL;31-8352039;1000;100;0;The sightseeing plane crashed on the northeast slopes of Mauna Loa volcano on the island of Hawaii at an altitude of about 10,500 feet. The pilot's decision to continue visual flight into instrument meteorological conditions (IMC) in an area of cloud-covered mountainous terrain. Contributing to the accident were the pilot's failure to properly navigate and his disregard for standard operating procedures, including flying into IMC while on a visual flight rules flight plan and failure to obtain a current preflight weather briefing.;195357926;-15557622565805800
01/10/2000;17:54:00;Niederhasli, Switzerland;Crossair;498;Zürich - Dresden;Saab 340B;HB-AKK;213;1000;100;0;The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive.;474812949;84858049
01/27/2001;17:37:00;Byers, Colorado;North Bay Charter;;Broomfield, CO - Stillwater, OK;Beech King Air 200 Catpass;N81PF;BB-158;1000;100;0;;39709152;-10422199652971200
07/14/2001;08:53:00;Near Moscow, Russia;Russ Air Transport Company;;Moscow - Norilsk;Ilyushin IL-76;RA-76588;43451530;1000;100;0;The cargo plane was taking off from Chkalovsky Airport with a load of construction material and cosmetics. After reaching a height of 150 feet, the plane the crashed and burned 1,600 feet past the end of the runway.  The plane was overloaded by 15 tones.;55758285650000000;3760436886144640
10/10/2001;09:26:00;Dillingham, Alaska;PenAir;350;Dillingham - King Salmon;Cessna 208 Caravan;N9530F;20800088;1000;100;0;Shortly after taking off from Dillingham, the aircraft's wing dipped, the nose pitched up, the plane became inverted and crashed to the ground. The weather was clear and windy at the time of the accident. An in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane. Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist.;590397222;-1584575
10/10/2001;10:42:00;Off Valencia, Spain;Flightline;101;Barcelona - Oran, Algeria;Swearingen SA-226AT Merlin IV;EC-GDV;AT-043;1000;100;0;The plane was en-route from Barcelona, Spain to Oran, Algeria, 80 miles off the coast of Valencia, Spain when it informed Valencia ATC it was going to change course in order to avoid bad weather. There was no further contact with the aircraft. Debris was sighted two days later on the water.;380272692;-7438652
08/07/2002;22:00:00;Caguas, Puerto Rico;Military - U.S. Air Force;-;Roosevelt Roads NS - Borinquen NGB;Lockheed MC-130H Hercules;90-0161;5265;1000;100;0;The military plane crashed into a mountain top, approximately 10 miles south of San Juan, Puerto Rico, in rough terrain, while performing low-level training exercises. Witnesses reported the aircraft was flying low and hit some trees before crashing into a ravine, bursting into flames and disintegrating. There was rain and fog at the time of the accident.;182345399;-660351316
10/24/2004;16:30:00;Martinsville, Virginia;Private - Hendrick Motorsports Inc.;;Concord, NC - Martinsville, VA;Beech 200 Super King Air;N501RH;BB-805;1000;100;0;The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach.;366915262;-798725386
10/07/2007;20:00:00;White Pass, Washington;Kapowsin Air Sports;;Star, ID - Shelton, WA;Cessna 208 Caravan;N430A;208B0415;1000;100;0;The parachutists had gone to Boise for a skydiving meet and were returning to Shelton when the plane crashed in rugged mountain territory. Radar shows the plane was at about 13,000 feet when it reached the Tieton River valley. The plane then turned around 360 degrees, then lost about 7,000 feet-per-minute before it disappeared. Reports indicate the pilot faced low clouds and low-level turbulence before the accident.;480332093;-1211485456
06/07/2008;14:00:00;Yeco, Chile;Patagonia Airlines;;Puerto Montt - La Junta;Cessna 208 Grand Caravan;CC-CTR;208B-1137;1000;100;0;The air taxi crashed about 18 km from its destination into a heavily wooded area.;-39450164;-731285035
06/20/2008;;Bannang Sata, Thailand;Military - Thai Army;;;Bell UH-1N;;;1000;100;0;The military helicopter developed a mechanical problem and crashed into a hill while attemping to land.;62655961;1012639861
04/19/1928;;Minuesa, Spain;Iberia Airlines;;;Rohrbach Roland;M-CCCC;;900;90;0;Crashed in fog.;396903253;-44273603
11/06/1936;;Near Moscow;Deruluft;;;Antonov AN-9;CCCP-D311;;900;90;0;Pilot error.;55758285650000000;3760436886144640
08/02/1937;;Wadi Halfa, Sudan;Ala Littoria;;Rome, Italy - Kartoum;Savoia-Marchetti SM73;I-SUSA;30014;900;90;0;Crashed into a building on takeoff.;218005;31350737
08/15/1938;;Guanabara, Brazil;Syndicato Condor;;Guanabara - Victoria;Junkers JU-52/3m;PP-CAT;4024;900;90;0;Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay.;-22888889;-47065556
01/13/1939;;Rio de Janeiro, Brazil;Syndicato Condor;;;Junkers JU-52/3m;PP-CAY;4042;900;90;0;The seaplane crashed in flames in mountains northeast of Rio de Janeiro.;-229110137;-432093727
02/26/1941;11:50:00;Atlanta, Georgia;Eastern Air Lines;21;New York City -  Washington D.C. - Atlanta - Brownsville;Douglas DC-3;NC28394;3204;1600;90;0;The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash.;337489924;-843902644
02/20/1942;;Off Belmont, Brisbane, Australia;Qantas;;;deHavilland DH-86;VH-USE;2309;900;90;0;Crashed shortly after takeoff after losing control in low clouds.;-2750679155;1531336795013320
04/21/1944;;Frederikstad, Norway;Deutsche Lufthansa;;;Douglas DC-3;D-AAIG;2095;2000;90;0;Pilot error.;592039226;109533869
12/01/1944;00:54:00;Van Nuys, California;Trans Continental and Western Air;13;San Francisco - Burbank - New York City;Douglas DC-3;NC17322;1965;1700;90;0;The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.;341866193;-1184486675
03/08/1947;;Cordillera, Colombia;VIARCO;;Villavicencio - Bogota;Douglas C-47-DL;C-400;4792;900;90;0;Crashed in the Cordillera mountain range while en route.;181275325;-7749181386482510
12/07/1949;17:15:00;Vallejo, California;Arrow Airlines;;Burbank - Oakland - Sacramento;Douglas DC-3;NC60256;9201;900;90;0;Struck a 1,200 ft. hill obscured by clouds, during a rainstorm, 6 miles east of Vallejo, California. The pilot failed to fly at the assigned altitude of 4,000 feet on his flightplan.;381040864;-1222566367
11/23/1950;;Cuzco, Peru;Faucett;;Maldorado - Quincemil;Douglas DC-3;OB-PAU-201;15992/32740;900;90;0;Crashed into a hill in poor weather conditions while en route.;-135170887;-719785356
12/13/1950;;Londrina, Brazil;VASP;;;Douglas DC-3;PP-SPT;20543;900;90;300;The aircraft crashed after losing its No. 1 engine on takeoff. Engine failure during takeoff. Pilot error. Short takeoff procedure used on an airfield where such a maneuver was not necessary.;-233112878;-511595023
02/19/1952;;Near Yaounde, Cameroon;STAAP;;;Consolidated  32 Liberator II;F-BEFX;12;900;90;0;;627946975;13345215681938400
04/30/1952;;Delhi,  India;Deccan Airways;;Madras - Delhi;Douglas DC-3;VT-AUN;13405;900;90;0;Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it.;286273928;771716954
11/17/1952;;Shepard, Montana;Military - U.S. Air Force;;Great Falls - Denver, Colorado;Fairchild C-119C-23-FA Flying Boxcar;;;1600;90;0;While en route, a propeller failed and punctured the fuselage after which vibrations caused the No. 1 engine to fall off. The pilot attempted to make an emergency landing. The plane crashed and came to rest in a muddy field.;451779987;-1096893387
02/26/1954;10:32:00;Wright, Wyoming;Western Airlines;314;Salt Lake City - Cedar City - Rapid City;Convair CV-240;N8407H;37;900;90;0;After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed.;43751281;-105484825
06/14/1957;23:10:00;Near Moscow, Russia;LOT Polish Airlines;232;Warsaw - Moscow;Ilyushin P-14;SP-LNF;6341407;1300;90;0;The aircraft descended below safe altitude and struck the ground in rain and poor visibility. The crew's application of an approach procedure other than that prescribed by the airport authority.;55758285650000000;3760436886144640
06/18/1957;;Bodensee, Switzerland;Swissair;;Training;Douglas C-47B;HB-IRK;20737;900;90;0;The stalling of the aircraft following a loss of airspeed, whereupon it unintentionally went into a spin. In view of insufficient altitude, it was not possible to level off the aircraft.;475170476;9505267395198330
12/31/1957;;Buenos Aires, Argentina;Aerolineas Argentinas;;Buenos Aires - Rosario - Corrientes;Short Sunderland;LV-AAR;;5100;90;0;The flying boat sank in Buenos Aires harbor while trying to make an emergency landing after losing an engine.;-346075682;-584370894
03/25/1958;;Miami, Florida;Braniff Airlines;971;;Douglas DC-7-C;N5904;45072/793;2400;90;0;The plane crashed 2 minutes after takeoff while trying to return to the airport  after reporting a fire in the No. 3 engine. The failure of the captain to maintain altitude during an emergency return to the airport due to his undue preoccupation with an engine fire following takeoff.;257741728;-8019362
12/24/1958;11:58:00;Winkton, England;BOAC;;Test;Bristol 175 Britannia 312;;;1200;90;0;While descending the aircraft struck the ground in heavy fog.;507641387;-17720991
01/03/1960;10:40:00;Taksing, India;Indian Airlines;;;Douglas C-47A;VT-CGG;12821;900;90;0;The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed.;284345031;932038913
04/18/1960;;Stephenville, Newfoundland;Military - U.S. Air Force;;Dover, Delaware - Mildenhall, England;Douglas C-124C Globemaster;52-1062;43971;900;90;0;Failed to gain altitude on take off and struck a hill.;485452022;-585871146
04/03/1967;16:33:00;Lexington, Kentucky;Lexington Air Taxi;-;;Beech C-45H;N3727G;;900;90;0;A fire of undetermined origin occurred in the left engine nacelle during climb-out. Engine failure of undetermined origin. Inadequate preflight planning. Improperly loaded aircraft, weight and center of gravity.;380464066;-844970393
11/23/1968;19:59:00;Santa Ana, California;Cable Commuter;544;Los Angeles - Santa Ana;de Havilland Canada DHC-6 Twin Otter 200;N7666;148;900;90;0;While on approach to the airport, in dense fog, the aircraft descended prematurely and its left wing clipped a 30 ft. light pole on the grounds of a fire station 1.8 miles northwest of the runway threshold. The plane then veered into the adjacent elevated western embankment of a freeway and broke up, spewing flaming wreckage across all six traffilanes. Improper IFR operation. Misjudged altitude.;337494951;-1178732213
04/19/1969;13:00:00;Craig, Alaska;Simpson Air Service - Air Taxi;;;de Havilland DHC-2;N167W;;900;90;0;Crashed into water after making a steep, nose high turn. Pilot in command failed to maintain flying speed.;554763889;-133148333
01/28/1970;07:49:00;Cleveland, Ohio;TAG Airlines;;Cleveland - Detroit;De Havilland Dove;N2300H;;900;90;0;The aircraft suffered an airframe failure while en route. Fatigue fracture of wing attachment fitting bolts. FAA replacement time exceeded.;414996574;-816936772
